time,cycles,instructions,branch-misses,cache-misses,L1-dcache-load-misses,L1-icache-load-misses,LLC-load-misses,LLC-store-misses,branch-load-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,l2_rqsts.code_rd_miss,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_miss,CPI
0.30033401,1242171068,2372482949,6652977,3551308,13589881,55579618,626416,1201722,7495115,386626,245634,71554,5100335,2435237,6505063,0.5235742868
0.600723725,1343576969,2194113605,6394373,2884284,16631041,50566409,531799,842576,6486129,371740,133419,86765,5926727,2961304,10143803,0.6123552427
0.90116951,1249661395,2023246141,7055391,4106010,15938303,38230886,864317,870124,6541023,455462,267140,130055,10614040,3038199,14704599,0.6176516884
1.201570588,644974242,1333884970,2357956,1825469,7330922,6804917,510108,351536,1950343,223102,161565,50374,2385185,1369366,5474687,0.4835306316
1.501955043,104773048,167410102,411435,682501,1286530,2205440,131040,30299,74201,3685,11401,5702,601441,245374,1357104,0.625846629
1.802337015,1228007774,2650578988,12000190,2041293,6216774,5622958,478179,277771,12272828,11450,1416,4571,981168,1151481,5122388,0.4632979359
2.102753563,1341198439,2163173968,22821093,70255,4190398,460775,25504,10300,22762991,7618,3512,947,57711,79841,205812,0.6200141361
2.403210141,1336641177,2166705008,22719728,87265,4578139,484366,20356,10644,22857970,5056,711,734,31487,95058,227676,0.6169003958
2.703605074,1331266805,2157207261,22514716,81583,6119615,390517,19229,5208,22526625,5109,1053,1335,69340,98249,204891,0.617125127
3.003804127,1331499203,2135665756,22550047,89223,6228348,455837,25064,11132,22554313,5774,1376,775,31181,84551,136007,0.6234586097
3.304234485,1331943517,2130167939,22562158,82327,5975092,387884,22172,5711,22512523,5403,1080,2452,84924,79470,134373,0.6252762952
3.604673122,1330795138,2132252854,22625751,63932,6222846,451684,20937,12154,22513726,6796,3290,2735,75162,104656,152454,0.6241263251
3.905089809,1334496033,2155231430,22639943,128582,5691867,529950,25676,18494,22712423,6509,831,863,41187,83211,258129,0.6191892037
4.205532784,1332124367,2115368680,22685125,100994,5706085,456115,35063,14837,22501973,7382,3403,1702,59424,89930,143510,0.6297362628
4.505976586,1336995032,2139956252,22836784,138148,5519752,458543,24877,15471,22794578,7069,855,951,31604,74922,142506,0.624776806
4.80637681,1336584098,2122324412,23240559,67160,4150172,466228,24566,14818,23006561,6261,1932,586,24605,69806,92106,0.6297737002
5.10678413,1335214403,2124333908,23201060,57534,4436437,405803,21291,11607,23111770,5869,1771,1766,71452,96092,116438,0.6285332066
5.40718587,1334389477,2096677476,23177871,148776,3941066,410253,23689,2130,23204804,4798,1554,1068,88842,137075,278281,0.6364304917
5.707611337,1337856002,2111705492,23316245,122320,4370046,504345,21535,4309,23344147,6493,783,598,14285,95362,257165,0.6335428908
6.007771521,1340279598,2118591261,22843673,124890,6538531,519369,29465,27895,22878513,5851,908,1142,22364,81950,112239,0.6326277384
6.308196701,1344672966,2116307101,23078160,61069,6446676,406585,25979,25561,22808639,6107,1906,2364,40755,75423,97295,0.635386502
6.608426892,1337402160,2087005363,22904761,115641,6855474,352832,21909,2003,22924296,2934,1755,4694,64400,117321,214453,0.6408235377
6.908841145,1341813694,2096457872,23280302,146332,5675028,436602,26376,8991,23362977,3455,1074,1010,21235,91212,224932,0.6400384725
7.209253376,1336195015,2096241441,22916052,178056,6023813,426951,36794,29344,23150820,3013,843,4025,16680,66986,88899,0.6374241959
7.509676369,1339625285,2083925647,23004969,183945,6488019,468128,34672,30293,23114284,3318,792,5021,18132,73654,94183,0.6428373713
7.810089185,1341286088,2077851072,23670529,147047,4578852,404951,34540,28580,23661111,3483,756,637,15074,64113,78254,0.6455159882
8.110503138,1345888264,2073470180,23860251,149519,4229922,403697,32222,14297,23881260,2935,717,598,17304,67870,212928,0.6490994069
8.410912821,1342553465,2046766235,24001027,138671,4375709,412024,19030,1406,24043564,3464,672,604,45527,140748,349529,0.6559388376
8.711319504,1345999592,2060974121,23408732,182613,6240491,525326,24956,1941,23612857,3698,645,4684,13758,95338,411164,0.6530890312
9.01173362,1339611941,2039745768,23954349,152655,4544578,481832,20550,1876,24011146,4962,762,1543,57883,148856,366835,0.6567543671
9.312160437,1342336475,2034985371,23918986,79342,4851114,439640,21483,2169,23618877,2998,989,2497,89424,90889,116488,0.6596295453
9.612559969,1343628756,2048488119,23927379,55695,4592913,439128,32356,27269,23976498,5098,1707,703,29460,58730,75986,0.6559123988
9.912986403,1339668774,2030432282,23785639,165076,5292252,475201,35332,34562,23827266,4591,831,4314,16967,67444,91068,0.6597948554
10.21339751,1336735315,2032018002,23927512,112951,4020878,451309,21799,1911,23833116,3656,2027,2626,75060,158279,192852,0.6578363546
